133,"2011.12.26_02:50:07_TAI"
134,"2011.12.26_02:50:52_TAI"
135,"2011.12.26_02:51:37_TAI"
136,"2011.12.26_02:52:22_TAI"
137,"2011.12.26_02:53:07_TAI"
138,"2011.12.26_02:53:52_TAI"
139,"2011.12.26_02:54:37_TAI"
140,"2011.12.26_02:55:22_TAI"
141,"2011.12.26_02:56:07_TAI"
142,"2011.12.26_02:56:52_TAI"
143,"2011.12.26_02:57:37_TAI"
144,"2011.12.26_02:58:22_TAI"
145,"2011.12.26_02:59:07_TAI"
146,"2011.12.26_02:59:52_TAI"
147,"2011.12.26_03:00:37_TAI"
148,"2011.12.26_03:01:22_TAI"
149,"2011.12.26_03:02:07_TAI"
150,"2011.12.26_03:02:52_TAI"
151,"2011.12.26_03:03:37_TAI"
152,"2011.12.26_03:04:22_TAI"
153,"2011.12.26_03:05:07_TAI"
154,"2011.12.26_03:05:52_TAI"
155,"2011.12.26_03:06:37_TAI"
156,"2011.12.26_03:07:22_TAI"
157,"2011.12.26_03:08:07_TAI"
158,"2011.12.26_03:08:52_TAI"
159,"2011.12.26_03:09:37_TAI"
160,"2011.12.26_03:10:22_TAI"
161,"2011.12.26_03:11:07_TAI"
162,"2011.12.26_03:11:52_TAI"
163,"2011.12.26_03:12:37_TAI"
164,"2011.12.26_03:13:22_TAI"
165,"2011.12.26_03:14:07_TAI"
166,"2011.12.26_03:14:52_TAI"
167,"2011.12.26_03:15:37_TAI"
168,"2011.12.26_03:16:22_TAI"
169,"2011.12.26_03:17:07_TAI"
170,"2011.12.26_03:17:52_TAI"
171,"2011.12.26_03:18:37_TAI"
172,"2011.12.26_03:19:22_TAI"
173,"2011.12.26_03:20:07_TAI"
174,"2011.12.26_03:20:52_TAI"
175,"2011.12.26_03:21:37_TAI"
176,"2011.12.26_03:22:22_TAI"
177,"2011.12.26_03:23:07_TAI"
178,"2011.12.26_03:23:52_TAI"
179,"2011.12.26_03:24:37_TAI"
180,"2011.12.26_03:25:22_TAI"
181,"2011.12.26_03:26:07_TAI"
182,"2011.12.26_03:26:52_TAI"
183,"2011.12.26_03:27:37_TAI"
184,"2011.12.26_03:28:22_TAI"
185,"2011.12.26_03:29:07_TAI"
186,"2011.12.26_03:38:07_TAI"
187,"2011.12.26_03:48:37_TAI"
188,"2011.12.26_03:58:22_TAI"
189,"2011.12.26_04:08:07_TAI"
190,"2011.12.26_04:18:37_TAI"
191,"2011.12.26_04:28:22_TAI"
192,"2011.12.26_04:38:07_TAI"
193,"2011.12.26_04:48:37_TAI"
194,"2011.12.26_04:58:22_TAI"
195,"2011.12.26_05:08:07_TAI"
196,"2011.12.26_05:18:37_TAI"
197,"2011.12.26_05:28:22_TAI"
198,"2011.12.26_05:38:07_TAI"
199,"2011.12.26_05:48:37_TAI"
200,"2011.12.26_05:58:22_TAI"
201,"2011.12.26_06:08:07_TAI"
202,"2011.12.26_06:18:37_TAI"
203,"2011.12.26_06:28:22_TAI"
